abandon,negative
abandoned,negative
abandonment,negative
abase,negative
abasement,negative
abash,negative
abate,negative
abdicate,negative
aberration,negative
abhor,negative
abhorred,negative
abhorrence,negative
abhorrent,negative
abhorrently,negative
abhors,negative
abidance,positive
abide,positive
abilities,positive
ability,positive
abject,negative
abjectly,negative
abjure,negative
able,positive
abnormal,negative
abolish,negative
abominable,negative
abominably,negative
abominate,negative
abomination,negative
abound,positive
above,positive
above-average,positive
abrade,negative
abrasive,negative
abrupt,negative
abscond,negative
absence,negative
absent-minded,negative
absentee,negative
absolute,neutral
absolutely,neutral
absolve,positive
absorbed,neutral
absurd,negative
absurdity,negative
absurdly,negative
absurdness,negative
abundance,positive
abundant,positive
abuse,negative
abuses,negative
abusive,negative
abysmal,negative
abysmally,negative
abyss,negative
accede,positive
accentuate,neutral
accept,positive
acceptable,positive
acceptance,positive
accessible,positive
accidental,negative
acclaim,positive
acclaimed,positive
acclamation,positive
accolade,positive
accolades,positive
accommodative,positive
accomplish,positive
accomplishment,positive
accomplishments,positive
accord,positive
accordance,positive
accordantly,positive
accost,negative
accountable,negative
accurate,positive
accurately,positive
accursed,negative
accusation,negative
accusations,negative
accuse,negative
accuses,negative
accusing,negative
accusingly,negative
acerbate,negative
acerbic,negative
acerbically,negative
ache,negative
achievable,positive
achieve,positive
achievement,positive
achievements,positive
acknowledge,positive
acknowledgement,positive
acquit,positive
acrid,negative
acridly,negative
acridness,negative
acrimonious,negative
acrimoniously,negative
acrimony,negative
active,positive
activist,neutral
actual,neutral
actuality,neutral
actually,neutral
acumen,positive
adamant,negative
adamantly,negative
adaptability,positive
adaptable,positive
adaptive,positive
addict,negative
addiction,negative
adept,positive
adeptly,positive
adequate,positive
adherence,positive
adherent,positive
adhesion,positive
admirable,positive
admirably,positive
admiration,positive
admire,positive
admirer,positive
admiring,positive
admiringly,positive
admission,positive
admit,positive
admittedly,positive
admonish,negative
admonisher,negative
admonishingly,negative
admonishment,negative
admonition,negative
adolescents,neutral
adorable,positive
adore,positive
adored,positive
adorer,positive
adoring,positive
adoringly,positive
adrift,negative
adroit,positive
adroitly,positive
adulate,positive
adulation,positive
adulatory,positive
adulterate,negative
adulterated,negative
adulteration,negative
advanced,positive
advantage,positive
advantageous,positive
advantages,positive
adventure,positive
adventuresome,positive
adventurism,positive
adventurous,positive
adversarial,negative
adversary,negative
adverse,negative
adversity,negative
advice,positive
advisable,positive
advocacy,positive
advocate,positive
affability,positive
affable,positive
affably,positive
affect,neutral
affectation,negative
affected,neutral
affection,positive
affectionate,positive
affinity,positive
affirm,positive
affirmation,positive
affirmative,positive
afflict,negative
affliction,negative
afflictive,negative
affluence,positive
affluent,positive
afford,positive
affordable,positive
affront,negative
afloat,positive
afraid,negative
against,negative
aggravate,negative
aggravating,negative
aggravation,negative
aggression,negative
aggressive,negative
aggressiveness,negative
aggressor,negative
aggrieve,negative
aggrieved,negative
aghast,negative
agile,positive
agilely,positive
agility,positive
agitate,negative
agitated,negative
agitation,negative
agitator,negative
agonies,negative
agonize,negative
agonizing,negative
agonizingly,negative
agony,negative
agree,positive
agreeability,positive
agreeable,positive
agreeableness,positive
agreeably,positive
agreement,positive
aha,neutral
ail,negative
ailment,negative
aimless,negative
air,neutral
airs,negative
alarm,negative
alarmed,negative
alarming,negative
alarmingly,negative
alas,negative
alert,neutral
alienate,negative
alienated,negative
alienation,negative
all-time,neutral
allay,positive
allegation,negative
allegations,negative
allege,negative
allegorize,neutral
allergic,negative
alleviate,positive
alliance,neutral
alliances,neutral
allow,positive
allowable,positive
allure,positive
alluring,positive
alluringly,positive
